date,bike_usage
2016-05-08,2066
2016-05-09,4058
2016-05-10,4888
2016-05-11,5442
2016-05-12,5710
2016-05-13,4578
2016-05-14,4973
2016-05-15,3005
2016-05-16,4060
2016-05-17,5275
2016-05-18,5363
2016-05-19,5229
2016-05-20,5521
2016-05-21,4489
2016-05-22,3670
2016-05-23,5324
2016-05-24,3820
2016-05-25,5930
2016-05-26,5859
2016-05-27,5728
2016-05-28,4258
2016-05-29,3920
2016-05-30,2708
2016-05-31,5934
2016-06-01,6017
2016-06-02,5533
2016-06-03,5449
2016-06-04,4992
2016-06-05,1636
2016-06-06,5766
2016-06-07,5480
2016-06-08,5614
2016-06-09,5758
2016-06-10,5753
2016-06-11,3310
2016-06-12,4156
2016-06-13,5405
2016-06-14,6024
2016-06-15,6091
2016-06-16,6375
2016-06-17,6230
2016-06-18,5225
2016-06-19,4834
2016-06-20,6143
2016-06-21,6365
2016-06-22,6503
2016-06-23,6676
2016-06-24,6376
2016-06-25,5181
2016-06-26,4837
2016-06-27,6070
2016-06-28,5137
2016-06-29,5549
2016-06-30,6182
2016-07-01,5453
2016-07-02,4682
2016-07-03,5062
2016-07-04,5398
2016-07-05,4599
2016-07-06,6040
2016-07-07,6259
2016-07-08,5684
2016-07-09,3908
2016-07-10,3202
2016-07-11,6275
2016-07-12,6617
2016-07-13,6026
2016-07-14,5963
2016-07-15,5714
2016-07-16,4488
2016-07-17,4801
2016-07-18,5188
2016-07-19,6905
2016-07-20,6858
2016-07-21,6457
2016-07-22,5732
2016-07-23,3985
2016-07-24,4503
2016-07-25,6027
2016-07-26,6195
2016-07-27,6424
2016-07-28,6413
2016-07-29,4947
2016-07-30,4623
2016-07-31,2955
2016-08-01,5952
2016-08-02,5434
2016-08-03,6713
2016-08-04,6522
2016-08-05,6327
2016-08-06,4333
2016-08-07,4934
2016-08-08,6483
2016-08-09,6949
2016-08-10,4872
2016-08-11,5731
2016-08-12,4963
2016-08-13,4608
2016-08-14,3663
2016-08-15,5815
2016-08-16,5861
2016-08-17,5983
2016-08-18,5907
2016-08-19,6053
2016-08-20,4811
2016-08-21,4590
2016-08-22,5793
2016-08-23,6257
2016-08-24,6156
2016-08-25,6016
2016-08-26,5562
2016-08-27,4424
2016-08-28,4620
2016-08-29,6030
2016-08-30,6560
2016-08-31,6276
2016-09-01,5421
2016-09-02,5930
2016-09-03,4734
2016-09-04,5119
2016-09-05,3719
2016-09-06,4301
2016-09-07,5529
2016-09-08,6257
2016-09-09,6198
2016-09-10,5995
2016-09-11,4494
2016-09-12,6409
2016-09-13,6870
2016-09-14,6410
2016-09-15,6785
2016-09-16,6570
2016-09-17,5401
